# -----------------------------------------------------------------------------
#
# CSV file for Amount types. This is only loaded into the database if we're
# initializing the db because it's empty.
#
# welltype labelname row col number units
# -----------------------------------------------------------------------------
COMP, "loc", 0,0,-10.0, MICROMOLAR
COMP, "loc", 0,1,-8.000, MICROMOLAR
COMP, "loc", 0,2,-7.523, MICROMOLAR
COMP, "loc", 0,3,-7.000, MICROMOLAR
COMP, "loc", 0,4,-6.523, MICROMOLAR
COMP, "loc", 1,0,-6.000, MICROMOLAR
COMP, "loc", 1,1,-5.523, MICROMOLAR
COMP, "loc", 1,2,-5.000, MICROMOLAR
COMP, "loc", 1,3,-4.523, MICROMOLAR
COMP, "loc", 1,4,-4.000, MICROMOLAR
EMPTY, "loc", 2,0,-6.000, MICROMOLAR
EMPTY, "loc", 2,1,-5.523, MICROMOLAR
EMPTY, "loc", 2,2,-5.000, MICROMOLAR
EMPTY, "loc", 2,3,-4.523, MICROMOLAR
EMPTY, "loc", 2,4,-4.000, MICROMOLAR
EMPTY, "loc", 3,0,-6.000, MICROMOLAR
EMPTY, "loc", 3,1,-5.523, MICROMOLAR
EMPTY, "loc", 3,2,-5.000, MICROMOLAR
EMPTY, "loc", 3,3,-4.523, MICROMOLAR
EMPTY, "loc", 3,4,-4.000, MICROMOLAR
EMPTY, "loc", 4,0,-6.000, MICROMOLAR
EMPTY, "loc", 4,1,-5.523, MICROMOLAR
EMPTY, "loc", 4,2,-5.000, MICROMOLAR
EMPTY, "loc", 4,3,-4.523, MICROMOLAR
EMPTY, "loc", 4,4,-4.000, MICROMOLAR
