# -----------------------------------------------------------------------------
#
# CSV file for Amount types. This is only loaded into the database if we're
# initializing the db because it's empty.
#
# welltype labelname row col number units
# -----------------------------------------------------------------------------
COMP, "loc", 1,1,-10.0, MICROMOLAR
COMP, "loc", 1,2,-8.000, MICROMOLAR
COMP, "loc", 1,3,-7.523, MICROMOLAR
COMP, "loc", 1,4,-7.000, MICROMOLAR
COMP, "loc", 1,5,-6.523, MICROMOLAR
COMP, "loc", 2,1,-6.000, MICROMOLAR
COMP, "loc", 2,2,-5.523, MICROMOLAR
COMP, "loc", 2,3,-5.000, MICROMOLAR
COMP, "loc", 2,4,-4.523, MICROMOLAR
COMP, "loc", 2,5,-4.000, MICROMOLAR
EMPTY, "loc", 3,1,-6.000, MICROMOLAR
EMPTY, "loc", 3,2,-5.523, MICROMOLAR
EMPTY, "loc", 3,3,-5.000, MICROMOLAR
EMPTY, "loc", 3,4,-4.523, MICROMOLAR
EMPTY, "loc", 3,5,-4.000, MICROMOLAR
EMPTY, "loc", 4,1,-6.000, MICROMOLAR
EMPTY, "loc", 4,2,-5.523, MICROMOLAR
EMPTY, "loc", 4,3,-5.000, MICROMOLAR
EMPTY, "loc", 4,4,-4.523, MICROMOLAR
EMPTY, "loc", 4,5,-4.000, MICROMOLAR
EMPTY, "loc", 5,1,-6.000, MICROMOLAR
EMPTY, "loc", 5,2,-5.523, MICROMOLAR
EMPTY, "loc", 5,3,-5.000, MICROMOLAR
EMPTY, "loc", 5,4,-4.523, MICROMOLAR
EMPTY, "loc", 5,5,-4.000, MICROMOLAR
