#row, col, well-type, label-name, label-value, Compound, quantity, units, sample
# Use a (0, 0) coordinate to start a new plate.
# This will only start a new plate if it is NOT next to another 0,0 well. otherwise
# it will append the chemical to the well.
#
0,0,NEGATIVE,loc,well0x0,C1257-1544,0.0,MICROMOLAR,0.011650518871655191
0,1,COMP,loc,well0x1,C1257-1544,16.666666666666668,MICROMOLAR,-0.38020577845038256
0,2,COMP,loc,well0x2,C1257-1544,33.333333333333336,MICROMOLAR,-0.6752428824935404
0,3,COMP,loc,well0x3,C1257-1544,50.0,MICROMOLAR,-0.6025607775374661
0,4,COMP,loc,well0x4,C1257-1544,66.66666666666667,MICROMOLAR,-0.45500894521320734
0,5,COMP,loc,well0x5,C1257-1544,83.33333333333334,MICROMOLAR,-0.44272136768852477
0,6,COMP,loc,well0x6,C1257-1544,100.0,MICROMOLAR,0.2212860520770099
0,7,COMP,loc,well0x7,C1257-1544,116.66666666666667,MICROMOLAR,0.20558037170062815
0,8,COMP,loc,well0x8,C1257-1544,133.33333333333334,MICROMOLAR,0.0722278916471375
0,9,COMP,loc,well0x9,C1257-1544,150.0,MICROMOLAR,0.8636144139870467
0,10,COMP,loc,well0x10,C1257-1544,166.66666666666669,MICROMOLAR,0.15558386325897888
0,11,NEGATIVE,loc,well0x11,C1257-1544,183.33333333333334,MICROMOLAR,0.07354990383706307
1,0,NEGATIVE,loc,well1x0,C1020-3,0.0,MICROMOLAR,0.042650982020332795
1,1,COMP,loc,well1x1,C1020-3,16.666666666666668,MICROMOLAR,-0.03018159265034774
1,2,COMP,loc,well1x2,C1020-3,33.333333333333336,MICROMOLAR,-0.026429211473483854
1,3,COMP,loc,well1x3,C1020-3,50.0,MICROMOLAR,0.005851454538798845
1,4,COMP,loc,well1x4,C1020-3,66.66666666666667,MICROMOLAR,0.08809361333694679
1,5,COMP,loc,well1x5,C1020-3,83.33333333333334,MICROMOLAR,0.23519910606192146
1,6,COMP,loc,well1x6,C1020-3,100.0,MICROMOLAR,0.47271468603000993
1,7,COMP,loc,well1x7,C1020-3,116.66666666666667,MICROMOLAR,0.7485006403253551
1,8,COMP,loc,well1x8,C1020-3,133.33333333333334,MICROMOLAR,0.9058257655151192
1,9,COMP,loc,well1x9,C1020-3,150.0,MICROMOLAR,0.962845661293943
1,10,COMP,loc,well1x10,C1020-3,166.66666666666669,MICROMOLAR,0.9788905826823262
1,11,NEGATIVE,loc,well1x11,C1020-3,183.33333333333334,MICROMOLAR,0.08193038610718159
2,0,NEGATIVE,loc,well2x0,C572-1201,0.0,MICROMOLAR,0.05717967312970838
2,1,COMP,loc,well2x1,C572-1201,16.666666666666668,MICROMOLAR,-0.10528252115955374
2,2,COMP,loc,well2x2,C572-1201,33.333333333333336,MICROMOLAR,-0.15930444709948058
2,3,COMP,loc,well2x3,C572-1201,50.0,MICROMOLAR,-0.06774273649321631
2,4,COMP,loc,well2x4,C572-1201,66.66666666666667,MICROMOLAR,0.08445557579343564
2,5,COMP,loc,well2x5,C572-1201,83.33333333333334,MICROMOLAR,0.19574282113174815
2,6,COMP,loc,well2x6,C572-1201,100.0,MICROMOLAR,0.47754845999064593
2,7,COMP,loc,well2x7,C572-1201,116.66666666666667,MICROMOLAR,0.7032246030573461
2,8,COMP,loc,well2x8,C572-1201,133.33333333333334,MICROMOLAR,0.8132331399691669
2,9,COMP,loc,well2x9,C572-1201,150.0,MICROMOLAR,0.9569871190092644
2,10,COMP,loc,well2x10,C572-1201,166.66666666666669,MICROMOLAR,0.8786241636309946
2,11,NEGATIVE,loc,well2x11,C572-1201,183.33333333333334,MICROMOLAR,0.028113746642047067
3,0,NEGATIVE,loc,well3x0,C1451-1550,0.0,MICROMOLAR,0.05404943351971107
3,1,COMP,loc,well3x1,C1451-1550,16.666666666666668,MICROMOLAR,-0.23603276709222867
3,2,COMP,loc,well3x2,C1451-1550,33.333333333333336,MICROMOLAR,-0.12003180902600745
3,3,COMP,loc,well3x3,C1451-1550,50.0,MICROMOLAR,-0.33666433303234783
3,4,COMP,loc,well3x4,C1451-1550,66.66666666666667,MICROMOLAR,-0.11021515997362523
3,5,COMP,loc,well3x5,C1451-1550,83.33333333333334,MICROMOLAR,0.06489521460231981
3,6,COMP,loc,well3x6,C1451-1550,100.0,MICROMOLAR,0.14995582484476222
3,7,COMP,loc,well3x7,C1451-1550,116.66666666666667,MICROMOLAR,0.7366492991640629
3,8,COMP,loc,well3x8,C1451-1550,133.33333333333334,MICROMOLAR,0.9100443922682099
3,9,COMP,loc,well3x9,C1451-1550,150.0,MICROMOLAR,0.6592811661488298
3,10,COMP,loc,well3x10,C1451-1550,166.66666666666669,MICROMOLAR,0.8241397875751856
3,11,NEGATIVE,loc,well3x11,C1451-1550,183.33333333333334,MICROMOLAR,0.03064840921763482
4,0,POSITIVE,loc,well4x0,C144-750,0.0,MICROMOLAR,0.9414861875923024
4,1,COMP,loc,well4x1,C144-750,16.666666666666668,MICROMOLAR,-0.7902294680034954
4,2,COMP,loc,well4x2,C144-750,33.333333333333336,MICROMOLAR,-0.3282135241175052
4,3,COMP,loc,well4x3,C144-750,50.0,MICROMOLAR,-0.7348873639759713
4,4,COMP,loc,well4x4,C144-750,66.66666666666667,MICROMOLAR,-0.7855188744428878
4,5,COMP,loc,well4x5,C144-750,83.33333333333334,MICROMOLAR,-0.06972171678323932
4,6,COMP,loc,well4x6,C144-750,100.0,MICROMOLAR,0.2693203793877904
4,7,COMP,loc,well4x7,C144-750,116.66666666666667,MICROMOLAR,-0.08251524564947921
4,8,COMP,loc,well4x8,C144-750,133.33333333333334,MICROMOLAR,0.15504319959791069
4,9,COMP,loc,well4x9,C144-750,150.0,MICROMOLAR,0.4463691993022686
4,10,COMP,loc,well4x10,C144-750,166.66666666666669,MICROMOLAR,0.5518610783422757
4,11,POSITIVE,loc,well4x11,C144-750,183.33333333333334,MICROMOLAR,0.9174268594710898
5,0,POSITIVE,loc,well5x0,C183-1197,0.0,MICROMOLAR,0.9839900721224217
5,1,COMP,loc,well5x1,C183-1197,16.666666666666668,MICROMOLAR,-0.39978382397955076
5,2,COMP,loc,well5x2,C183-1197,33.333333333333336,MICROMOLAR,-0.23203987359552217
5,3,COMP,loc,well5x3,C183-1197,50.0,MICROMOLAR,-0.3827359133769882
5,4,COMP,loc,well5x4,C183-1197,66.66666666666667,MICROMOLAR,0.03835618546462285
5,5,COMP,loc,well5x5,C183-1197,83.33333333333334,MICROMOLAR,-0.1692963412584417
5,6,COMP,loc,well5x6,C183-1197,100.0,MICROMOLAR,0.19905369041713772
5,7,COMP,loc,well5x7,C183-1197,116.66666666666667,MICROMOLAR,0.7171578480623721
5,8,COMP,loc,well5x8,C183-1197,133.33333333333334,MICROMOLAR,0.6585678101774539
5,9,COMP,loc,well5x9,C183-1197,150.0,MICROMOLAR,0.769793574798307
